# SYNTHETIC. Group sizes in dataset row order, for XGBRanker.
group_id,user_id,split,size
105,syn-0136,train,78
106,syn-0137,train,21
107,syn-0138,train,32
108,syn-0139,train,11
109,syn-0141,train,117
110,syn-0142,train,22
111,syn-0145,train,77
112,syn-0146,train,15
113,syn-0147,train,2
114,syn-0148,train,33
115,syn-0150,train,118
116,syn-0152,train,56
117,syn-0153,test,30
118,syn-0154,train,63
119,syn-0155,train,171
120,syn-0157,train,5
121,syn-0158,train,145
122,syn-0160,test,17
123,syn-0164,train,83
124,syn-0165,train,56
125,syn-0166,test,86
126,syn-0168,test,135
127,syn-0169,train,36
128,syn-0170,train,119
129,syn-0171,train,116
130,syn-0172,test,12
131,syn-0175,train,60
132,syn-0176,test,27
133,syn-0178,train,125
134,syn-0180,train,65
135,syn-0181,test,111
136,syn-0182,test,4
137,syn-0183,test,22
138,syn-0184,train,84
139,syn-0185,train,6
140,syn-0186,train,93
141,syn-0187,test,8
142,syn-0188,train,20
143,syn-0190,test,95
144,syn-0192,train,175
145,syn-0193,train,175
146,syn-0194,train,34
147,syn-0195,train,10
148,syn-0197,train,10
149,syn-0198,train,94
150,syn-0199,train,111
151,syn-0200,train,5
152,syn-0201,train,56
153,syn-0203,train,16
154,syn-0206,train,144
155,syn-0207,test,36
156,syn-0210,train,9
157,syn-0211,train,110
158,syn-0213,train,24
159,syn-0214,train,131
160,syn-0215,train,13
161,syn-0216,train,13
162,syn-0217,train,18
163,syn-0218,train,33
164,syn-0219,train,6
165,syn-0220,train,7
166,syn-0221,train,57
167,syn-0222,train,33
168,syn-0223,train,11
169,syn-0224,test,26
170,syn-0225,train,28
171,syn-0226,train,56
172,syn-0228,train,30
173,syn-0230,train,19
174,syn-0231,train,175
175,syn-0233,test,168
176,syn-0234,test,8
177,syn-0235,train,2
178,syn-0236,train,130
179,syn-0238,train,49
180,syn-0239,train,53
181,syn-0243,train,144
182,syn-0245,test,30
183,syn-0246,test,30
184,syn-0247,train,142
185,syn-0248,train,69
186,syn-0250,train,57
187,syn-0251,train,5
188,syn-0252,train,40
189,syn-0254,train,53
190,syn-0255,test,12
191,syn-0258,test,155
192,syn-0259,train,20
193,syn-0260,train,20
194,syn-0261,train,35
195,syn-0262,train,8
196,syn-0264,train,129
197,syn-0265,train,4
198,syn-0266,train,15
199,syn-0267,train,11
200,syn-0268,test,49
201,syn-0270,train,34
202,syn-0271,train,6
203,syn-0274,test,80
204,syn-0275,train,46
205,syn-0276,train,78
206,syn-0278,train,117
207,syn-0279,test,37
208,syn-0280,train,35
209,syn-0282,train,115
210,syn-0284,train,175
211,syn-0285,train,101
212,syn-0286,train,46
213,syn-0288,train,49
214,syn-0289,train,108
215,syn-0290,train,178
216,syn-0293,test,15
217,syn-0294,train,175
218,syn-0295,train,98
219,syn-0296,train,38
220,syn-0297,train,6
221,syn-0298,test,4
222,syn-0300,train,26
223,syn-0302,train,21
224,syn-0303,train,11
225,syn-0304,train,31
226,syn-0305,train,10
227,syn-0307,train,164
228,syn-0308,train,32
229,syn-0310,test,57
230,syn-0314,train,116
231,syn-0319,train,48
232,syn-0320,train,29
233,syn-0325,train,22
234,syn-0326,test,39
235,syn-0327,train,27
236,syn-0329,train,33
237,syn-0331,train,48
238,syn-0333,train,2
239,syn-0337,train,99
240,syn-0338,test,42
241,syn-0339,train,36
242,syn-0341,train,21
243,syn-0343,train,111
244,syn-0344,train,97
245,syn-0345,train,20
246,syn-0346,train,50
247,syn-0348,train,8
248,syn-0353,test,21
249,syn-0354,train,153
250,syn-0357,train,50
251,syn-0358,train,9
252,syn-0361,test,103
253,syn-0362,train,24
254,syn-0363,test,12
255,syn-0364,train,36
256,syn-0366,train,101
257,syn-0369,test,149
258,syn-0371,train,115
259,syn-0372,train,4
260,syn-0374,train,64
261,syn-0376,test,73
262,syn-0378,train,15
263,syn-0380,train,18
264,syn-0383,train,2
265,syn-0385,train,13
266,syn-0386,train,61
267,syn-0388,train,50
268,syn-0390,train,86
269,syn-0391,train,16
270,syn-0393,train,124
271,syn-0394,train,7
272,syn-0396,test,13
273,syn-0398,test,12
274,syn-0399,train,12
275,syn-0401,train,159
276,syn-0402,train,7
277,syn-0405,test,22
278,syn-0408,train,10
279,syn-0409,train,133
280,syn-0410,train,8
281,syn-0412,test,35
282,syn-0413,test,76
283,syn-0415,train,8
284,syn-0416,train,111
285,syn-0418,train,46
286,syn-0419,train,80
287,syn-0420,test,22
288,syn-0425,train,37
289,syn-0428,train,34
290,syn-0432,test,35
291,syn-0433,train,29
292,syn-0436,train,19
293,syn-0438,train,66
294,syn-0440,test,27
295,syn-0443,train,6
296,syn-0444,train,89
297,syn-0445,test,117
298,syn-0446,train,6
299,syn-0448,train,116
300,syn-0449,train,97
301,syn-0450,test,158
302,syn-0451,train,101
303,syn-0453,train,4
304,syn-0456,train,180
305,syn-0457,train,51
306,syn-0461,train,32
307,syn-0462,test,15
308,syn-0463,train,13
309,syn-0464,train,62
310,syn-0465,train,116
311,syn-0467,train,33
312,syn-0468,train,40
313,syn-0469,train,11
314,syn-0472,test,57
315,syn-0473,train,140
316,syn-0474,train,140
317,syn-0477,train,157
318,syn-0479,train,45
319,syn-0480,train,21
320,syn-0481,train,70
321,syn-0482,train,129
322,syn-0483,train,27
323,syn-0485,train,8
324,syn-0486,train,114
325,syn-0490,train,2
326,syn-0491,test,127
327,syn-0492,train,106
328,syn-0493,train,65
329,syn-0494,test,58
330,syn-0497,train,33
331,syn-0498,test,50
332,syn-0499,train,11
333,syn-0500,train,29
334,syn-0501,train,76
335,syn-0504,train,51
336,syn-0505,train,61
337,syn-0511,train,168
338,syn-0513,train,9
339,syn-0514,train,41
340,syn-0515,train,7
341,syn-0516,train,180
342,syn-0517,train,49
343,syn-0518,train,58
344,syn-0519,train,30
345,syn-0520,train,155
346,syn-0522,test,165
347,syn-0523,train,146
348,syn-0527,test,119
349,syn-0529,train,42
350,syn-0530,train,94
351,syn-0531,train,67
352,syn-0533,train,13
353,syn-0537,train,45
354,syn-0538,train,5
355,syn-0539,train,4
356,syn-0540,test,85
357,syn-0542,train,55
358,syn-0543,train,13
359,syn-0545,train,45
360,syn-0546,train,5
361,syn-0547,train,17
362,syn-0548,train,28
363,syn-0549,train,46
364,syn-0551,train,15
365,syn-0553,test,61
366,syn-0556,train,39
367,syn-0557,train,121
368,syn-0558,test,38
369,syn-0559,test,10
370,syn-0561,train,89
371,syn-0565,test,7
372,syn-0566,train,121
373,syn-0568,test,20
374,syn-0570,train,41
375,syn-0572,train,133
376,syn-0573,train,27
377,syn-0576,train,120
378,syn-0577,test,2
379,syn-0579,train,79
380,syn-0580,train,116
381,syn-0581,test,116
382,syn-0583,train,98
383,syn-0585,train,56
384,syn-0588,train,40
385,syn-0589,train,146
386,syn-0591,train,22
387,syn-0592,train,30
388,syn-0593,train,68
389,syn-0594,train,25
390,syn-0595,train,13
391,syn-0596,train,57
392,syn-0597,train,38
393,syn-0599,train,146
394,syn-0600,test,121
395,syn-0601,train,45
396,syn-0603,train,2
397,syn-0604,test,30
398,syn-0605,train,132
399,syn-0606,train,76
400,syn-0608,train,47
401,syn-0610,train,3
402,syn-0611,train,46
403,syn-0612,train,82
404,syn-0613,test,51
405,syn-0614,train,19
406,syn-0615,test,9
407,syn-0618,train,70
408,syn-0620,train,134
409,syn-0621,train,27
410,syn-0622,train,108
411,syn-0623,train,18
412,syn-0624,train,116
413,syn-0626,train,34
414,syn-0629,train,27
415,syn-0630,test,97
416,syn-0632,train,91
417,syn-0633,train,28
418,syn-0635,train,7
419,syn-0636,test,12
420,syn-0637,train,32
421,syn-0638,train,9
422,syn-0639,train,7
423,syn-0640,train,50
424,syn-0642,train,69
425,syn-0644,train,50
426,syn-0645,train,12
427,syn-0646,train,36
428,syn-0647,train,105
429,syn-0649,test,18
430,syn-0650,train,19
431,syn-0651,train,30
432,syn-0652,train,26
433,syn-0653,train,23
434,syn-0654,train,18
435,syn-0656,train,120
436,syn-0658,train,36
437,syn-0659,train,59
438,syn-0660,train,51
439,syn-0661,train,13
440,syn-0663,train,14
441,syn-0664,train,21
442,syn-0666,test,22
443,syn-0668,test,156
444,syn-0670,train,60
445,syn-0671,test,121
446,syn-0672,train,2
447,syn-0673,train,9
448,syn-0674,test,17
449,syn-0675,test,140
450,syn-0677,test,4
451,syn-0679,train,70
452,syn-0682,test,106
453,syn-0683,train,165
454,syn-0684,train,82
455,syn-0686,train,33
456,syn-0687,train,50
457,syn-0688,train,6
458,syn-0689,train,98
459,syn-0690,train,14
460,syn-0692,train,166
461,syn-0693,train,24
462,syn-0694,train,25
463,syn-0696,train,29
464,syn-0697,train,4
465,syn-0698,test,74
466,syn-0700,train,46
467,syn-0701,train,2
468,syn-0702,test,8
469,syn-0703,train,20
470,syn-0705,train,121
471,syn-0706,train,107
472,syn-0707,test,40
473,syn-0708,train,159
474,syn-0709,test,76
475,syn-0710,train,133
476,syn-0711,train,54
477,syn-0713,train,171
478,syn-0715,train,8
479,syn-0716,train,2
480,syn-0717,train,2
481,syn-0718,train,26
482,syn-0719,train,9
483,syn-0720,train,30
484,syn-0721,test,14
485,syn-0723,train,22
486,syn-0726,test,153
487,syn-0727,test,85
488,syn-0729,train,10
489,syn-0730,train,101
490,syn-0735,train,12
491,syn-0736,train,171
492,syn-0737,train,104
493,syn-0738,train,90
494,syn-0739,train,4
495,syn-0741,train,115
496,syn-0743,train,8
497,syn-0744,train,14
498,syn-0745,train,26
499,syn-0751,train,13
500,syn-0752,test,9
501,syn-0753,train,38
502,syn-0755,test,29
503,syn-0758,train,148
504,syn-0759,test,45
505,syn-0760,train,140
506,syn-0761,test,165
507,syn-0762,test,12
508,syn-0763,train,3
509,syn-0765,train,45
510,syn-0766,train,18
511,syn-0770,train,90
512,syn-0772,test,46
513,syn-0775,train,105
514,syn-0776,train,30
515,syn-0777,test,54
516,syn-0778,test,21
517,syn-0779,train,96
518,syn-0780,train,17
519,syn-0781,test,155
520,syn-0782,test,47
521,syn-0783,train,3
522,syn-0784,train,20
523,syn-0785,test,40
524,syn-0787,train,21
525,syn-0788,train,22
526,syn-0790,train,18
527,syn-0791,train,8
528,syn-0794,train,4
529,syn-0795,test,145
530,syn-0798,train,26
531,syn-0799,test,158
532,syn-0802,train,110
533,syn-0803,train,160
534,syn-0804,train,59
535,syn-0805,train,21
536,syn-0807,train,4
537,syn-0810,train,37
538,syn-0811,train,7
539,syn-0812,train,24
540,syn-0813,train,10
541,syn-0814,train,12
542,syn-0815,train,10
543,syn-0816,train,28
544,syn-0817,test,18
545,syn-0820,train,62
546,syn-0821,train,63
547,syn-0824,train,46
548,syn-0826,test,45
549,syn-0830,train,38
550,syn-0831,train,26
551,syn-0832,test,14
552,syn-0834,train,16
553,syn-0835,train,34
554,syn-0838,test,79
555,syn-0839,train,30
556,syn-0841,train,26
557,syn-0846,train,91
558,syn-0847,train,65
559,syn-0850,train,45
560,syn-0851,train,46
561,syn-0852,train,13
562,syn-0853,train,105
563,syn-0854,train,84
564,syn-0855,train,75
565,syn-0856,train,10
566,syn-0858,train,51
567,syn-0859,train,31
568,syn-0860,test,129
569,syn-0861,train,19
570,syn-0864,train,40
571,syn-0866,train,57
572,syn-0867,train,32
573,syn-0868,test,28
574,syn-0870,train,13
575,syn-0873,test,8
576,syn-0875,train,29
577,syn-0876,test,171
578,syn-0877,train,31
579,syn-0879,train,37
580,syn-0880,train,64
581,syn-0881,train,119
582,syn-0882,train,61
583,syn-0883,train,52
584,syn-0885,train,24
585,syn-0887,test,35
586,syn-0888,train,39
587,syn-0889,train,18
588,syn-0890,train,45
589,syn-0892,train,24
590,syn-0897,test,114
591,syn-0900,train,3
592,syn-0901,train,139
593,syn-0902,test,56
594,syn-0903,train,22
595,syn-0905,train,28
596,syn-0907,train,115
597,syn-0908,train,6
598,syn-0909,train,29
599,syn-0911,test,64
600,syn-0912,train,45
601,syn-0913,train,79
602,syn-0914,train,45
603,syn-0915,train,70
604,syn-0917,train,81
605,syn-0919,train,10
606,syn-0925,train,31
607,syn-0927,train,77
608,syn-0929,train,3
609,syn-0930,test,17
610,syn-0931,train,77
611,syn-0932,train,181
612,syn-0936,train,20
613,syn-0937,train,83
614,syn-0939,train,150
615,syn-0941,train,50
616,syn-0942,train,55
617,syn-0943,train,141
618,syn-0944,test,12
619,syn-0945,train,91
620,syn-0947,train,93
621,syn-0948,train,153
622,syn-0949,train,9
623,syn-0950,train,2
624,syn-0951,test,169
625,syn-0952,train,111
626,syn-0953,train,64
627,syn-0954,train,29
628,syn-0955,train,144
629,syn-0956,train,13
630,syn-0957,train,100
631,syn-0958,train,55
632,syn-0960,train,60
633,syn-0961,train,99
634,syn-0962,test,59
635,syn-0964,test,42
636,syn-0965,train,30
637,syn-0966,train,3
638,syn-0967,train,44
639,syn-0968,train,181
640,syn-0969,train,39
641,syn-0970,test,55
642,syn-0972,train,52
643,syn-0973,test,69
644,syn-0977,train,39
645,syn-0978,train,34
646,syn-0980,train,42
647,syn-0981,train,76
648,syn-0982,train,62
649,syn-0983,train,109
650,syn-0984,train,19
651,syn-0985,train,16
652,syn-0986,train,14
653,syn-0987,train,3
654,syn-0992,train,43
655,syn-0993,train,28
656,syn-0994,test,47
657,syn-0995,train,181
658,syn-0997,train,5
659,syn-0998,train,55
660,syn-0999,test,31
661,syn-1002,train,15
662,syn-1003,train,104
663,syn-1004,train,5
664,syn-1005,train,42
665,syn-1006,train,17
666,syn-1008,test,30
667,syn-1009,train,140
668,syn-1011,train,9
669,syn-1012,train,10
670,syn-1013,train,133
671,syn-1014,train,162
672,syn-1016,test,28
673,syn-1018,train,19
674,syn-1020,train,35
675,syn-1021,train,124
676,syn-1022,train,72
677,syn-1025,train,33
678,syn-1026,train,121
679,syn-1029,train,155
680,syn-1030,train,30
681,syn-1031,train,162
682,syn-1033,train,8
683,syn-1035,train,145
684,syn-1036,train,7
685,syn-1037,train,81
686,syn-1038,train,38
687,syn-1040,test,111
688,syn-1041,test,30
689,syn-1042,test,24
690,syn-1045,test,150
691,syn-1046,test,10
692,syn-1048,train,72
693,syn-1049,train,14
694,syn-1051,train,98
695,syn-1053,train,131
696,syn-1054,test,40
697,syn-1055,train,11
698,syn-1057,train,39
699,syn-1059,train,124
700,syn-1061,train,121
701,syn-1065,test,30
702,syn-1066,train,108
703,syn-1067,train,98
704,syn-1072,train,8
705,syn-1073,test,9
706,syn-1075,test,39
707,syn-1077,train,44
708,syn-1078,test,46
709,syn-1079,train,125
710,syn-1080,train,91
711,syn-1081,train,61
712,syn-1082,train,4
713,syn-1085,train,6
714,syn-1087,train,65
715,syn-1089,train,4
716,syn-1090,train,21
717,syn-1092,train,6
718,syn-1094,train,21
719,syn-1095,train,49
720,syn-1097,train,4
721,syn-1098,train,88
722,syn-1099,train,45
723,syn-1102,train,67
724,syn-1103,test,47
725,syn-1107,test,65
726,syn-1108,train,2
727,syn-1109,test,39
728,syn-1110,train,4
729,syn-1111,test,9
730,syn-1112,train,36
731,syn-1113,train,146
732,syn-1115,train,3
733,syn-1116,train,97
734,syn-1118,train,21
735,syn-1120,train,62
736,syn-1121,train,15
737,syn-1123,train,13
738,syn-1124,test,171
739,syn-1125,train,23
740,syn-1130,train,56
741,syn-1131,test,41
742,syn-1132,train,139
743,syn-1133,test,10
744,syn-1135,train,169
745,syn-1137,train,6
746,syn-1138,train,8
747,syn-1139,train,9
748,syn-1141,train,42
749,syn-1143,train,24
750,syn-1145,train,12
751,syn-1146,test,42
752,syn-1147,train,136
753,syn-1149,train,31
754,syn-1150,train,21
755,syn-1154,test,7
756,syn-1156,train,96
757,syn-1157,train,39
758,syn-1159,train,15
759,syn-1161,train,120
760,syn-1162,train,39
761,syn-1163,test,45
762,syn-1165,train,30
763,syn-1166,train,26
764,syn-1167,train,2
765,syn-1168,train,56
766,syn-1170,train,13
767,syn-1171,train,33
768,syn-1172,train,126
769,syn-1173,test,58
770,syn-1176,train,56
771,syn-1177,train,3
772,syn-1182,train,10
773,syn-1183,train,140
774,syn-1184,train,24
775,syn-1186,train,146
776,syn-1187,train,33
777,syn-1188,test,28
778,syn-1189,train,22
779,syn-1190,train,175
780,syn-1192,train,97
781,syn-1193,train,181
782,syn-1194,train,22
783,syn-1196,train,2
784,syn-1197,test,6
785,syn-1198,train,34
