# SYNTHETIC RELEVANCE LABELS — produced by training/labeling.py (LABELING_POLICY_VERSION 2.0.0). These are not observed customer choices. A model trained on them partially reproduces that policy.
group_id,user_id,split,label,raw_score,stress_failure_rate,demoted,noised,candidate_id,product_id,lender,tenure_months,strategy,required_amount,loan_amount,emi,total_interest,total_repayment,liquidation_amount,volatile_liquidation_amount,remaining_portfolio_value,resulting_liquidity_ratio,resulting_debt_burden_ratio,affordability_headroom,SYNTHETIC
1,syn-0003,train,0,0.591927,0.31,False,False,PL-401-901800-24-BORROW_100,PL-401,HDFC Bank,24,BORROW_100,1503000.0,901800.0,41989.09,105938.22,1007738.22,0.0,0.0,5499300.0,0.7,0.190259,15560.91,TRUE
1,syn-0003,train,0,0.619232,0.27,False,False,PL-401-721440-24-BORROW_80_LIQUIDATE_20,PL-401,HDFC Bank,24,BORROW_80_LIQUIDATE_20,1503000.0,721440.0,33591.27,84750.58,806190.58,180360.0,0.0,5318940.0,0.689827,0.165251,23958.73,TRUE
1,syn-0003,train,1,0.646537,0.26,False,True,PL-401-541080-24-BORROW_60_LIQUIDATE_40,PL-401,HDFC Bank,24,BORROW_60_LIQUIDATE_40,1503000.0,541080.0,25193.46,63562.93,604642.93,360720.0,0.0,5138580.0,0.67894,0.140243,32356.54,TRUE
1,syn-0003,train,1,0.673841,0.245,False,False,PL-401-360720-24-BORROW_40_LIQUIDATE_60,PL-401,HDFC Bank,24,BORROW_40_LIQUIDATE_60,1503000.0,360720.0,16795.64,42375.29,403095.29,541080.0,0.0,4958220.0,0.667262,0.115234,40754.36,TRUE
1,syn-0003,train,1,0.701146,0.235,False,False,PL-401-180360-24-BORROW_20_LIQUIDATE_80,PL-401,HDFC Bank,24,BORROW_20_LIQUIDATE_80,1503000.0,180360.0,8397.82,21187.64,201547.64,721440.0,0.0,4777860.0,0.654701,0.090226,49152.18,TRUE
1,syn-0003,train,0,0.64319,0.27,False,False,PL-401-901800-36-BORROW_100,PL-401,HDFC Bank,36,BORROW_100,1503000.0,901800.0,29481.09,159519.15,1061319.15,0.0,0.0,5499300.0,0.7,0.153011,28068.91,TRUE
1,syn-0003,train,0,0.660242,0.255,False,False,PL-401-721440-36-BORROW_80_LIQUIDATE_20,PL-401,HDFC Bank,36,BORROW_80_LIQUIDATE_20,1503000.0,721440.0,23584.87,127615.32,849055.32,180360.0,0.0,5318940.0,0.689827,0.135452,33965.13,TRUE
1,syn-0003,train,1,0.677294,0.245,False,False,PL-401-541080-36-BORROW_60_LIQUIDATE_40,PL-401,HDFC Bank,36,BORROW_60_LIQUIDATE_40,1503000.0,541080.0,17688.65,95711.49,636791.49,360720.0,0.0,5138580.0,0.67894,0.117894,39861.35,TRUE
1,syn-0003,train,1,0.694347,0.235,False,False,PL-401-360720-36-BORROW_40_LIQUIDATE_60,PL-401,HDFC Bank,36,BORROW_40_LIQUIDATE_60,1503000.0,360720.0,11792.43,63807.66,424527.66,541080.0,0.0,4958220.0,0.667262,0.100335,45757.57,TRUE
1,syn-0003,train,2,0.711399,0.23,False,False,PL-401-180360-36-BORROW_20_LIQUIDATE_80,PL-401,HDFC Bank,36,BORROW_20_LIQUIDATE_80,1503000.0,180360.0,5896.22,31903.83,212263.83,721440.0,0.0,4777860.0,0.654701,0.082776,51653.78,TRUE
1,syn-0003,train,0,0.664533,0.255,False,False,PL-401-901800-48-BORROW_100,PL-401,HDFC Bank,48,BORROW_100,1503000.0,901800.0,23263.72,214858.67,1116658.67,0.0,0.0,5499300.0,0.7,0.134496,34286.28,TRUE
1,syn-0003,train,1,0.677317,0.25,False,False,PL-401-721440-48-BORROW_80_LIQUIDATE_20,PL-401,HDFC Bank,48,BORROW_80_LIQUIDATE_20,1503000.0,721440.0,18610.98,171886.94,893326.94,180360.0,0.0,5318940.0,0.689827,0.12064,38939.02,TRUE
1,syn-0003,train,1,0.6901,0.245,False,False,PL-401-541080-48-BORROW_60_LIQUIDATE_40,PL-401,HDFC Bank,48,BORROW_60_LIQUIDATE_40,1503000.0,541080.0,13958.23,128915.2,669995.2,360720.0,0.0,5138580.0,0.67894,0.106784,43591.77,TRUE
1,syn-0003,train,1,0.702884,0.235,False,False,PL-401-360720-48-BORROW_40_LIQUIDATE_60,PL-401,HDFC Bank,48,BORROW_40_LIQUIDATE_60,1503000.0,360720.0,9305.49,85943.47,446663.47,541080.0,0.0,4958220.0,0.667262,0.092929,48244.51,TRUE
1,syn-0003,train,2,0.715668,0.225,False,False,PL-401-180360-48-BORROW_20_LIQUIDATE_80,PL-401,HDFC Bank,48,BORROW_20_LIQUIDATE_80,1503000.0,180360.0,4652.74,42971.73,223331.73,721440.0,0.0,4777860.0,0.654701,0.079073,52897.26,TRUE
1,syn-0003,train,1,0.67376,0.25,False,False,PL-401-901800-60-BORROW_100,PL-401,HDFC Bank,60,BORROW_100,1503000.0,901800.0,19562.37,271942.41,1173742.41,0.0,0.0,5499300.0,0.7,0.123473,37987.63,TRUE
1,syn-0003,train,1,0.684698,0.245,False,False,PL-401-721440-60-BORROW_80_LIQUIDATE_20,PL-401,HDFC Bank,60,BORROW_80_LIQUIDATE_20,1503000.0,721440.0,15649.9,217553.93,938993.93,180360.0,0.0,5318940.0,0.689827,0.111822,41900.1,TRUE
1,syn-0003,train,1,0.695636,0.235,False,False,PL-401-541080-60-BORROW_60_LIQUIDATE_40,PL-401,HDFC Bank,60,BORROW_60_LIQUIDATE_40,1503000.0,541080.0,11737.42,163165.45,704245.45,360720.0,0.0,5138580.0,0.67894,0.100171,45812.58,TRUE
1,syn-0003,train,1,0.706575,0.23,False,False,PL-401-360720-60-BORROW_40_LIQUIDATE_60,PL-401,HDFC Bank,60,BORROW_40_LIQUIDATE_60,1503000.0,360720.0,7824.95,108776.96,469496.96,541080.0,0.0,4958220.0,0.667262,0.08852,49725.05,TRUE
1,syn-0003,train,2,0.717513,0.225,False,False,PL-401-180360-60-BORROW_20_LIQUIDATE_80,PL-401,HDFC Bank,60,BORROW_20_LIQUIDATE_80,1503000.0,180360.0,3912.47,54388.48,234748.48,721440.0,0.0,4777860.0,0.654701,0.076869,53637.53,TRUE
1,syn-0003,train,0,0.619282,0.315,False,False,PL-401-480960-12-BORROW_40_LIQUIDATE_60,PL-401,HDFC Bank,12,BORROW_40_LIQUIDATE_60,1503000.0,480960.0,42485.61,28867.34,509827.34,721440.0,0.0,4777860.0,0.654701,0.191738,15064.39,TRUE
1,syn-0003,train,1,0.700955,0.255,False,False,PL-401-240480-12-BORROW_20_LIQUIDATE_80,PL-401,HDFC Bank,12,BORROW_20_LIQUIDATE_80,1503000.0,240480.0,21242.81,14433.67,254913.67,961920.0,0.0,4535995.91,0.636289,0.128478,36307.19,TRUE
1,syn-0003,train,0,0.60083,0.335,False,False,PL-401-1202400-24-BORROW_100,PL-401,HDFC Bank,24,BORROW_100,1503000.0,1202400.0,55985.46,141250.96,1343650.96,0.0,0.0,5499300.0,0.7,0.23194,1564.54,TRUE
1,syn-0003,train,0,0.637236,0.32,False,False,PL-401-961920-24-BORROW_80_LIQUIDATE_20,PL-401,HDFC Bank,24,BORROW_80_LIQUIDATE_20,1503000.0,961920.0,44788.37,113000.77,1074920.77,240480.0,0.0,5258820.0,0.686281,0.198595,12761.63,TRUE
1,syn-0003,train,1,0.710049,0.255,False,False,PL-401-480960-24-BORROW_40_LIQUIDATE_60,PL-401,HDFC Bank,24,BORROW_40_LIQUIDATE_60,1503000.0,480960.0,22394.18,56500.38,537460.38,721440.0,0.0,4777860.0,0.654701,0.131906,35155.82,TRUE
1,syn-0003,train,2,0.746338,0.235,False,False,PL-401-240480-24-BORROW_20_LIQUIDATE_80,PL-401,HDFC Bank,24,BORROW_20_LIQUIDATE_80,1503000.0,240480.0,11197.09,28250.19,268730.19,961920.0,0.0,4535995.91,0.636289,0.098562,46352.91,TRUE
1,syn-0003,train,1,0.669181,0.3,False,False,PL-401-1202400-36-BORROW_100,PL-401,HDFC Bank,36,BORROW_100,1503000.0,1202400.0,39308.12,212692.2,1415092.2,0.0,0.0,5499300.0,0.7,0.182276,18241.88,TRUE
1,syn-0003,train,1,0.691917,0.27,False,False,PL-401-961920-36-BORROW_80_LIQUIDATE_20,PL-401,HDFC Bank,36,BORROW_80_LIQUIDATE_20,1503000.0,961920.0,31446.49,170153.76,1132073.76,240480.0,0.0,5258820.0,0.686281,0.158864,26103.51,TRUE
1,syn-0003,train,2,0.73739,0.245,False,False,PL-401-480960-36-BORROW_40_LIQUIDATE_60,PL-401,HDFC Bank,36,BORROW_40_LIQUIDATE_60,1503000.0,480960.0,15723.25,85076.88,566036.88,721440.0,0.0,4777860.0,0.654701,0.112041,41826.75,TRUE
1,syn-0003,train,2,0.760008,0.23,False,False,PL-401-240480-36-BORROW_20_LIQUIDATE_80,PL-401,HDFC Bank,36,BORROW_20_LIQUIDATE_80,1503000.0,240480.0,7861.62,42538.44,283018.44,961920.0,0.0,4535995.91,0.636289,0.088629,49688.38,TRUE
1,syn-0003,train,1,0.697639,0.27,False,False,PL-401-1202400-48-BORROW_100,PL-401,HDFC Bank,48,BORROW_100,1503000.0,1202400.0,31018.3,286478.23,1488878.23,0.0,0.0,5499300.0,0.7,0.157589,26531.7,TRUE
1,syn-0003,train,2,0.714683,0.26,False,False,PL-401-961920-48-BORROW_80_LIQUIDATE_20,PL-401,HDFC Bank,48,BORROW_80_LIQUIDATE_20,1503000.0,961920.0,24814.64,229182.59,1191102.59,240480.0,0.0,5258820.0,0.686281,0.139114,32735.36,TRUE
1,syn-0003,train,2,0.748773,0.235,False,False,PL-401-480960-48-BORROW_40_LIQUIDATE_60,PL-401,HDFC Bank,48,BORROW_40_LIQUIDATE_60,1503000.0,480960.0,12407.32,114591.29,595551.29,721440.0,0.0,4777860.0,0.654701,0.102166,45142.68,TRUE
1,syn-0003,train,3,0.7657,0.23,False,False,PL-401-240480-48-BORROW_20_LIQUIDATE_80,PL-401,HDFC Bank,48,BORROW_20_LIQUIDATE_80,1503000.0,240480.0,6203.66,57295.65,297775.65,961920.0,0.0,4535995.91,0.636289,0.083692,51346.34,TRUE
1,syn-0003,train,1,0.709941,0.26,False,False,PL-401-1202400-60-BORROW_100,PL-401,HDFC Bank,60,BORROW_100,1503000.0,1202400.0,26083.16,362589.88,1564989.88,0.0,0.0,5499300.0,0.7,0.142892,31466.84,TRUE
1,syn-0003,train,2,0.724525,0.255,False,False,PL-401-961920-60-BORROW_80_LIQUIDATE_20,PL-401,HDFC Bank,60,BORROW_80_LIQUIDATE_20,1503000.0,961920.0,20866.53,290071.91,1251991.91,240480.0,0.0,5258820.0,0.686281,0.127357,36683.47,TRUE
1,syn-0003,train,2,0.753694,0.235,False,False,PL-401-480960-60-BORROW_40_LIQUIDATE_60,PL-401,HDFC Bank,60,BORROW_40_LIQUIDATE_60,1503000.0,480960.0,10433.27,145035.95,625995.95,721440.0,0.0,4777860.0,0.654701,0.096287,47116.73,TRUE
1,syn-0003,train,3,0.76816,0.23,False,False,PL-401-240480-60-BORROW_20_LIQUIDATE_80,PL-401,HDFC Bank,60,BORROW_20_LIQUIDATE_80,1503000.0,240480.0,5216.63,72517.98,312997.98,961920.0,0.0,4535995.91,0.636289,0.080752,52333.37,TRUE
1,syn-0003,train,0,0.632733,0.335,False,False,PL-401-601200-12-BORROW_40_LIQUIDATE_60,PL-401,HDFC Bank,12,BORROW_40_LIQUIDATE_60,1503000.0,601200.0,53107.01,36084.17,637284.17,901800.0,0.0,4596723.18,0.641094,0.223368,4442.99,TRUE
1,syn-0003,train,2,0.734712,0.26,False,False,PL-401-300600-12-BORROW_20_LIQUIDATE_80,PL-401,HDFC Bank,12,BORROW_20_LIQUIDATE_80,1503000.0,300600.0,26553.51,18042.08,318642.08,1202400.0,0.0,4293086.82,0.61571,0.144293,30996.49,TRUE
1,syn-0003,train,2,0.746191,0.265,False,False,PL-401-601200-24-BORROW_40_LIQUIDATE_60,PL-401,HDFC Bank,24,BORROW_40_LIQUIDATE_60,1503000.0,601200.0,27992.73,70625.48,671825.48,901800.0,0.0,4596723.18,0.641094,0.148579,29557.27,TRUE
1,syn-0003,train,3,0.791441,0.245,False,False,PL-401-300600-24-BORROW_20_LIQUIDATE_80,PL-401,HDFC Bank,24,BORROW_20_LIQUIDATE_80,1503000.0,300600.0,13996.36,35312.74,335912.74,1202400.0,0.0,4293086.82,0.61571,0.106898,43553.64,TRUE
1,syn-0003,train,0,0.695172,0.335,True,False,PL-401-1503000-36-BORROW_100,PL-401,HDFC Bank,36,BORROW_100,1503000.0,1503000.0,49135.15,265865.25,1768865.25,0.0,0.0,5499300.0,0.7,0.21154,8414.85,TRUE
1,syn-0003,train,3,0.780367,0.25,False,False,PL-401-601200-36-BORROW_40_LIQUIDATE_60,PL-401,HDFC Bank,36,BORROW_40_LIQUIDATE_60,1503000.0,601200.0,19654.06,106346.1,707546.1,901800.0,0.0,4596723.18,0.641094,0.123746,37895.94,TRUE
1,syn-0003,train,3,0.808529,0.235,False,False,PL-401-300600-36-BORROW_20_LIQUIDATE_80,PL-401,HDFC Bank,36,BORROW_20_LIQUIDATE_80,1503000.0,300600.0,9827.03,53173.05,353773.05,1202400.0,0.0,4293086.82,0.61571,0.094482,47722.97,TRUE
1,syn-0003,train,2,0.730744,0.295,False,False,PL-401-1503000-48-BORROW_100,PL-401,HDFC Bank,48,BORROW_100,1503000.0,1503000.0,38772.87,358097.79,1861097.79,0.0,0.0,5499300.0,0.7,0.180682,18777.13,TRUE
1,syn-0003,train,3,0.794596,0.245,False,False,PL-401-601200-48-BORROW_40_LIQUIDATE_60,PL-401,HDFC Bank,48,BORROW_40_LIQUIDATE_60,1503000.0,601200.0,15509.15,143239.12,744439.12,901800.0,0.0,4596723.18,0.641094,0.111403,42040.85,TRUE
1,syn-0003,train,3,0.815643,0.23,False,False,PL-401-300600-48-BORROW_20_LIQUIDATE_80,PL-401,HDFC Bank,48,BORROW_20_LIQUIDATE_80,1503000.0,300600.0,7754.57,71619.56,372219.56,1202400.0,0.0,4293086.82,0.61571,0.08831,49795.43,TRUE
1,syn-0003,train,2,0.746121,0.27,False,False,PL-401-1503000-60-BORROW_100,PL-401,HDFC Bank,60,BORROW_100,1503000.0,1503000.0,32603.96,453237.35,1956237.35,0.0,0.0,5499300.0,0.7,0.162311,24946.04,TRUE
1,syn-0003,train,3,0.800747,0.245,False,False,PL-401-601200-60-BORROW_40_LIQUIDATE_60,PL-401,HDFC Bank,60,BORROW_40_LIQUIDATE_60,1503000.0,601200.0,13041.58,181294.94,782494.94,901800.0,0.0,4596723.18,0.641094,0.104055,44508.42,TRUE
1,syn-0003,train,3,0.818719,0.23,False,False,PL-401-300600-60-BORROW_20_LIQUIDATE_80,PL-401,HDFC Bank,60,BORROW_20_LIQUIDATE_80,1503000.0,300600.0,6520.79,90647.47,391247.47,1202400.0,0.0,4293086.82,0.61571,0.084636,51029.21,TRUE
1,syn-0003,train,0,0.543854,0.335,False,False,PL-402-541080-12-BORROW_60_LIQUIDATE_40,PL-402,ICICI Bank,12,BORROW_60_LIQUIDATE_40,1503000.0,541080.0,47884.67,33536.01,574616.01,360720.0,0.0,5138580.0,0.67894,0.207816,9665.33,TRUE
1,syn-0003,train,0,0.605387,0.27,False,False,PL-402-360720-12-BORROW_40_LIQUIDATE_60,PL-402,ICICI Bank,12,BORROW_40_LIQUIDATE_60,1503000.0,360720.0,31923.11,22357.34,383077.34,541080.0,0.0,4958220.0,0.667262,0.160283,25626.89,TRUE
1,syn-0003,train,0,0.666919,0.245,False,False,PL-402-180360-12-BORROW_20_LIQUIDATE_80,PL-402,ICICI Bank,12,BORROW_20_LIQUIDATE_80,1503000.0,180360.0,15961.56,11178.67,191538.67,721440.0,0.0,4777860.0,0.654701,0.11275,41588.44,TRUE
1,syn-0003,train,0,0.590728,0.315,False,False,PL-402-901800-24-BORROW_100,PL-402,ICICI Bank,24,BORROW_100,1503000.0,901800.0,42135.7,109456.7,1011256.7,0.0,0.0,5499300.0,0.7,0.190696,15414.3,TRUE
1,syn-0003,train,0,0.618273,0.27,False,False,PL-402-721440-24-BORROW_80_LIQUIDATE_20,PL-402,ICICI Bank,24,BORROW_80_LIQUIDATE_20,1503000.0,721440.0,33708.56,87565.36,809005.36,180360.0,0.0,5318940.0,0.689827,0.1656,23841.44,TRUE
1,syn-0003,train,0,0.645817,0.26,False,False,PL-402-541080-24-BORROW_60_LIQUIDATE_40,PL-402,ICICI Bank,24,BORROW_60_LIQUIDATE_40,1503000.0,541080.0,25281.42,65674.02,606754.02,360720.0,0.0,5138580.0,0.67894,0.140505,32268.58,TRUE
1,syn-0003,train,1,0.673362,0.245,False,False,PL-402-360720-24-BORROW_40_LIQUIDATE_60,PL-402,ICICI Bank,24,BORROW_40_LIQUIDATE_60,1503000.0,360720.0,16854.28,43782.68,404502.68,541080.0,0.0,4958220.0,0.667262,0.115409,40695.72,TRUE
1,syn-0003,train,1,0.700907,0.235,False,False,PL-402-180360-24-BORROW_20_LIQUIDATE_80,PL-402,ICICI Bank,24,BORROW_20_LIQUIDATE_80,1503000.0,180360.0,8427.14,21891.34,202251.34,721440.0,0.0,4777860.0,0.654701,0.090313,49122.86,TRUE
1,syn-0003,train,0,0.641708,0.27,False,False,PL-402-901800-36-BORROW_100,PL-402,ICICI Bank,36,BORROW_100,1503000.0,901800.0,29630.65,164903.56,1066703.56,0.0,0.0,5499300.0,0.7,0.153456,27919.35,TRUE
1,syn-0003,train,0,0.659057,0.255,False,False,PL-402-721440-36-BORROW_80_LIQUIDATE_20,PL-402,ICICI Bank,36,BORROW_80_LIQUIDATE_20,1503000.0,721440.0,23704.52,131922.85,853362.85,180360.0,0.0,5318940.0,0.689827,0.135809,33845.48,TRUE
1,syn-0003,train,1,0.676406,0.245,False,False,PL-402-541080-36-BORROW_60_LIQUIDATE_40,PL-402,ICICI Bank,36,BORROW_60_LIQUIDATE_40,1503000.0,541080.0,17778.39,98942.14,640022.14,360720.0,0.0,5138580.0,0.67894,0.118161,39771.61,TRUE
1,syn-0003,train,1,0.693754,0.235,False,False,PL-402-360720-36-BORROW_40_LIQUIDATE_60,PL-402,ICICI Bank,36,BORROW_40_LIQUIDATE_60,1503000.0,360720.0,11852.26,65961.42,426681.42,541080.0,0.0,4958220.0,0.667262,0.100513,45697.74,TRUE
1,syn-0003,train,2,0.711103,0.23,False,False,PL-402-180360-36-BORROW_20_LIQUIDATE_80,PL-402,ICICI Bank,36,BORROW_20_LIQUIDATE_80,1503000.0,180360.0,5926.13,32980.71,213340.71,721440.0,0.0,4777860.0,0.654701,0.082865,51623.87,TRUE
1,syn-0003,train,0,0.662748,0.255,False,False,PL-402-901800-48-BORROW_100,PL-402,ICICI Bank,48,BORROW_100,1503000.0,901800.0,23417.13,222222.19,1124022.19,0.0,0.0,5499300.0,0.7,0.134953,34132.87,TRUE
1,syn-0003,train,1,0.675889,0.25,False,False,PL-402-721440-48-BORROW_80_LIQUIDATE_20,PL-402,ICICI Bank,48,BORROW_80_LIQUIDATE_20,1503000.0,721440.0,18733.7,177777.75,899217.75,180360.0,0.0,5318940.0,0.689827,0.121006,38816.3,TRUE
1,syn-0003,train,1,0.68903,0.245,False,False,PL-402-541080-48-BORROW_60_LIQUIDATE_40,PL-402,ICICI Bank,48,BORROW_60_LIQUIDATE_40,1503000.0,541080.0,14050.28,133333.32,674413.32,360720.0,0.0,5138580.0,0.67894,0.107059,43499.72,TRUE
1,syn-0003,train,2,0.70217,0.235,False,True,PL-402-360720-48-BORROW_40_LIQUIDATE_60,PL-402,ICICI Bank,48,BORROW_40_LIQUIDATE_60,1503000.0,360720.0,9366.85,88888.88,449608.88,541080.0,0.0,4958220.0,0.667262,0.093112,48183.15,TRUE
1,syn-0003,train,2,0.715311,0.225,False,False,PL-402-180360-48-BORROW_20_LIQUIDATE_80,PL-402,ICICI Bank,48,BORROW_20_LIQUIDATE_80,1503000.0,180360.0,4683.43,44444.44,224804.44,721440.0,0.0,4777860.0,0.654701,0.079164,52866.57,TRUE
1,syn-0003,train,1,0.671654,0.25,False,False,PL-402-901800-60-BORROW_100,PL-402,ICICI Bank,60,BORROW_100,1503000.0,901800.0,19719.94,281396.29,1183196.29,0.0,0.0,5499300.0,0.7,0.123943,37830.06,TRUE
1,syn-0003,train,1,0.683013,0.245,False,False,PL-402-721440-60-BORROW_80_LIQUIDATE_20,PL-402,ICICI Bank,60,BORROW_80_LIQUIDATE_20,1503000.0,721440.0,15775.95,225117.04,946557.04,180360.0,0.0,5318940.0,0.689827,0.112198,41774.05,TRUE
1,syn-0003,train,1,0.694373,0.235,False,False,PL-402-541080-60-BORROW_60_LIQUIDATE_40,PL-402,ICICI Bank,60,BORROW_60_LIQUIDATE_40,1503000.0,541080.0,11831.96,168837.78,709917.78,360720.0,0.0,5138580.0,0.67894,0.100453,45718.04,TRUE
1,syn-0003,train,1,0.705732,0.23,False,False,PL-402-360720-60-BORROW_40_LIQUIDATE_60,PL-402,ICICI Bank,60,BORROW_40_LIQUIDATE_60,1503000.0,360720.0,7887.98,112558.52,473278.52,541080.0,0.0,4958220.0,0.667262,0.088707,49662.02,TRUE
1,syn-0003,train,2,0.717092,0.225,False,False,PL-402-180360-60-BORROW_20_LIQUIDATE_80,PL-402,ICICI Bank,60,BORROW_20_LIQUIDATE_80,1503000.0,180360.0,3943.99,56279.26,236639.26,721440.0,0.0,4777860.0,0.654701,0.076962,53606.01,TRUE
1,syn-0003,train,0,0.618776,0.315,False,False,PL-402-480960-12-BORROW_40_LIQUIDATE_60,PL-402,ICICI Bank,12,BORROW_40_LIQUIDATE_60,1503000.0,480960.0,42564.15,29809.79,510769.79,721440.0,0.0,4777860.0,0.654701,0.191972,14985.85,TRUE
1,syn-0003,train,1,0.700702,0.255,False,False,PL-402-240480-12-BORROW_20_LIQUIDATE_80,PL-402,ICICI Bank,12,BORROW_20_LIQUIDATE_80,1503000.0,240480.0,21282.07,14904.89,255384.89,961920.0,0.0,4535995.91,0.636289,0.128595,36267.93,TRUE
1,syn-0003,train,0,0.599232,0.335,False,False,PL-402-1202400-24-BORROW_100,PL-402,ICICI Bank,24,BORROW_100,1503000.0,1202400.0,56180.93,145942.26,1348342.26,0.0,0.0,5499300.0,0.7,0.232522,1369.07,TRUE
1,syn-0003,train,0,0.635958,0.32,False,False,PL-402-961920-24-BORROW_80_LIQUIDATE_20,PL-402,ICICI Bank,24,BORROW_80_LIQUIDATE_20,1503000.0,961920.0,44944.74,116753.81,1078673.81,240480.0,0.0,5258820.0,0.686281,0.199061,12605.26,TRUE
1,syn-0003,train,1,0.70941,0.255,False,False,PL-402-480960-24-BORROW_40_LIQUIDATE_60,PL-402,ICICI Bank,24,BORROW_40_LIQUIDATE_60,1503000.0,480960.0,22472.37,58376.91,539336.91,721440.0,0.0,4777860.0,0.654701,0.132139,35077.63,TRUE
1,syn-0003,train,2,0.746018,0.235,False,False,PL-402-240480-24-BORROW_20_LIQUIDATE_80,PL-402,ICICI Bank,24,BORROW_20_LIQUIDATE_80,1503000.0,240480.0,11236.19,29188.45,269668.45,961920.0,0.0,4535995.91,0.636289,0.098678,46313.81,TRUE
1,syn-0003,train,0,0.667206,0.3,False,False,PL-402-1202400-36-BORROW_100,PL-402,ICICI Bank,36,BORROW_100,1503000.0,1202400.0,39507.54,219871.41,1422271.41,0.0,0.0,5499300.0,0.7,0.182869,18042.46,TRUE
1,syn-0003,train,1,0.690337,0.27,False,False,PL-402-961920-36-BORROW_80_LIQUIDATE_20,PL-402,ICICI Bank,36,BORROW_80_LIQUIDATE_20,1503000.0,961920.0,31606.03,175897.13,1137817.13,240480.0,0.0,5258820.0,0.686281,0.159339,25943.97,TRUE
1,syn-0003,train,2,0.7366,0.245,False,False,PL-402-480960-36-BORROW_40_LIQUIDATE_60,PL-402,ICICI Bank,36,BORROW_40_LIQUIDATE_60,1503000.0,480960.0,15803.02,87948.57,568908.57,721440.0,0.0,4777860.0,0.654701,0.112278,41746.98,TRUE
